Livsmedelsnamn;Livsmedelsnummer;Energi (kcal);Energi (kJ);Kolhydrater (g);Fett (g);Protein (g);Fibrer (g);Vatten (g);Alkohol (g);Aska (g);Monosackarider (g);Disackarider (g);Sackaros (g);Fullkorn totalt (g);Sockerarter (g);Summa mättade fettsyror (g);Fettsyra 4:0-10:0 (g);Laurinsyra C12:0 (g);Myristinsyra C14:0 (g);Palmitinsyra C16:0 (g);Stearinsyra C18:0 (g);Arakidinsyra C20:0 (g);Summa enkelomättade fettsyror (g);Palmitoljesyra C16:1 (g);Oljesyra C18:1 (g);Summa fleromättade fettsyror (g);Linolsyra C18:2 (g);Linolensyra C18:3 (g);Arakidonsyra C20:4 (g);EPA (C20:5) (g);DPA (C22:5) (g);DHA (C22:6) (g);Kolesterol (mg);Retinol (µg);Vitamin A (RE);β-Karoten (µg);Vitamin D (µg);Vitamin E (mg);Vitamin K (µg);Tiamin (mg);Riboflavin (mg);Vitamin C (mg);Niacin (mg);Niacinekvivalenter (NE);Vitamin B6 (mg);Vitamin B12 (µg);Folat (µg);Fosfor (mg);Jod (µg);Järn (mg);Kalcium (mg);Kalium (mg);Koppar (mg);Magnesium (mg);Natrium (mg);Salt (g);Selen (µg);Zink (mg);Stärkelse (g);Avfall (skal etc.) (%)
Apelsinskal;598;104;433;21,8;0,2;1,5;3,7;72;0;0,8;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0,04;0,01;0,03;0,04;0,03;0,01;0;0;0;0;0;0;20,8;250;0;0;;0,12;0,09;136;0,9;1,15;0,18;0;2;;0;0,8;161;210;;22;3;0,01;0,2;0;;0
Aprikos torkad;599;190;795;41;0,5;2,19;5,3;39,6;0;11,4;35,5;3,9;3,9;0;39,4;0,13;0;0;0;0,1;0,02;0;0,02;0;0,02;0,25;0,12;0,12;0;0;0;0;0;0;45,8;525;0;3,57;3,1;0,02;0,01;1;2,5;2,9;0,09;0;13;67;18;1,35;71;1039;0,3;34;9;0,02;0;0,3;;0
Banan torkad;600;374;1566;80,8;1,8;3,9;7,5;3;0;3;31;27,9;27,9;0;58,9;0,7;0,04;0;0;0,56;0,04;0;0,2;0,04;0,11;0,34;0,21;0,13;0;0;0;0;0;0;15,5;186;0;0;;0,18;0,24;7;2,8;3,45;0;0;35,5;74;1;1,2;22;1490;;108;3;0,01;1,9;0,6;;0
Blåbär torkade;601;330;1382;69,8;1;4,6;10;13;0;1,6;36,6;9,3;9,3;0;45,9;0,04;0;0;0;0,03;0;0;0,12;0;0,11;0,64;0,28;0,36;0;0;0;0;0;0;12,5;150;0;0,2;;0,02;0,1;3;1,5;2,27;0,2;0;12;120;4,5;4,8;140;559;;53;16,3;0,04;0;1;;0
Citronskal;602;64;268;11,9;0,3;1,5;3,7;82;0;0,6;0;0;0;0;0;0,04;0;0;0;0,04;0;0;0,01;0;0,01;0,1;0,06;0,03;0;0;0;0;0;0;2,5;30;0;0;;0,06;0,08;129;0,4;0,65;0,17;0;2;12;0;0,8;134;160;;15;6;0,02;2;0;;0
Dadlar torkade;603;321;1345;71,9;0,6;2,38;7,5;16;0;1,6;58;0;0;0;58;0,05;0;0;0;0,03;0,02;0;0,06;0;0,05;0,02;0,02;0;0;0;0;0;0;0;0,8;9;0;0,67;2,7;0,05;0,07;0,4;1,3;1,7;0,17;0;19;68;17;2,21;68;727;0,26;55;11;0,03;3;0,4;;10
Fikon torkade;604;269;1127;55,9;1,2;3,06;10;27,5;0;2,3;43,3;0;0;0;43,3;0,13;0;0;0;0,09;0,03;0;0,19;0;0,18;0,67;0,28;0,38;0;0;0;0;0;0;0,5;6;0;0,32;15,6;0,07;0,04;1;0,9;1,4;0,35;0;3;75;2;1,44;191;784;0,3;67;111;0,28;0,6;0,5;;1
Katrinplommon torkade;605;219;918;48,6;0,3;2,31;5,2;37,3;0;6,3;36,5;0;0;0;36,5;0,07;0;0;0;0,05;0,01;0;0,04;0;0,04;0,12;0,1;0,02;0;0;0;0;0;0;19,3;193;0;1,05;59,5;0,03;0,03;0,6;2,7;3,1;0,04;0;1;69;2;1,44;64;734;0,28;36;3;0,01;0;0,4;;0
Nypon torkat u. frön;606;328;1374;68,4;1,4;3,7;12;9,1;0;5,4;55;6;6;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;583,3;7000;0;0;;0,05;0,3;270;1,5;2,12;0;0;1,9;123;0,9;4,2;310;1600;0,26;240;8;0,02;0,5;0,6;;0
Nyponsoppapulver berikad;607;384;1608;91,1;0,2;0,7;5;1,8;0;1,2;3;68;68;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48,3;580;0;0;;0,01;0,24;190;0,3;0,42;0;0;0,4;35;;1,3;155;469;;39;32;0,08;0,4;0,1;;0
Persika torkad;608;252;1056;52,9;0,8;3,6;8,2;32;0;2,5;12,8;38;38;0;50,8;0,07;0;0;0;0,06;0,01;0;0,24;0,01;0,23;0,32;0,31;0,01;0;0;0;0;0;0;107,5;1290;0;0,5;;0;0,2;5;4,4;5;0,07;0;14;119;;4,1;28;1000;;42;7;0,02;0,5;0,6;;0
Päron torkade;609;282;1180;63,4;0,6;1,9;6;27;0;1,1;31,3;11;11;0;42,3;0,11;0;0;0;0,09;0,02;0;0,07;0,01;0,06;0,3;0,22;0,07;0;0;0;0;0;0;0;0;0;0,4;;0,01;0,14;7;1,4;1,72;0,07;0;13;59;;2,1;34;530;;33;6;0,02;1;0,4;;0
Russin;610;285;1194;64,4;0,5;1,88;6,1;22,6;0;4,5;60;0;1,5;0;61,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;8;0;1,5;12,1;0,1;0;0;0,6;0,9;0,3;0;8,1;79,2;90,1;1,9;47,9;598,4;0,4;31;14,6;0,04;0;0,16;0,75;0
Äpple torkat;611;257;1075;57,2;0,3;0,9;9,5;31;0;1,1;44;13,2;13,2;0;57,2;0,05;0;0;0;0,04;0,01;0;0,01;0;0,01;0,09;0,07;0,01;0;0;0;0;0;0;1;12;0;0,2;;0;0,16;4;0,9;1,05;0,12;0;1;38;;0,1;14;450;;16;87;0,22;0,2;0,2;;0
Frukt torkad;612;266;1112;56,8;0,5;3,3;9;28;0;2,4;34;8,1;8,1;0;42,1;0,04;0;0;0;0,03;0,01;0;0,24;0;0,24;0,12;0,11;0;0;0;0;0;0;0;121,7;1460;0;0,3;;0,04;0,16;4;1,9;2,45;0,16;0;7;79;;4;45;880;;39;34;0,09;0,5;0,5;;0
Papaya torkad;613;263;1099;57,6;0,6;3,4;5;30;0;3,4;27,2;25;25;0;52,2;0,15;0;0;0;0,11;0;0;0,15;0,06;0,06;0,15;0;0,11;0;0;0;0;0;0;566,7;6800;0;0,5;;0,18;0,17;219;1,37;1,94;0,11;0;3;28;2,3;0,6;135;1439;;56;17;0,04;1;0,4;;0
Ananas konserv. m. juice;614;62;260;14,2;0,1;0,4;1;84;0;0,3;6,2;8,5;8,5;0;14,7;0,01;0;0;0;0,01;0;0;0,01;0;0,01;0,03;0,02;0,02;0;0;0;0;0;0;2;24;0;0,03;;0,1;0,02;10;0,3;0,37;0,08;0;5;6;1;0,3;14;122;;14;1;0;0,2;0,1;;0
Ananas konserv. m. sockerlag;617;86;362;20,2;0,1;0,4;1;78;0;0,3;3,7;16,3;16,3;0;20;0,01;0;0;0;0;0;0;0,01;0;0,01;0,03;0,02;0,01;0;0;0;0;0;0;0,5;6;0;0,03;;0,09;0,02;7;0,3;0,37;0,07;0;5;7;1;0,3;14;104;0,09;17;1;0;0,2;0,1;;0
Aprikos konserv. m. juice;618;52;217;11,4;0;0,6;1,6;86;0;0,4;2,5;5,8;5,8;0;8,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46,7;560;0;2;;0,02;0,02;5;0,3;0,4;0,05;0;2;20;0,5;0,3;12;165;;10;4;0,01;0,2;0,1;;0
Aprikos konserv. m. sockerlag;619;118;494;27,7;0,1;0,5;1,3;70;0;0,4;2,5;16;16;0;18,5;0,01;0;0;0;0,01;0;0;0,04;0;0,04;0,02;0,02;0;0;0;0;0;0;0;61,7;740;0;0,89;;0,02;0,02;3;0,38;0,46;0,05;0;1,7;12;0,3;0,4;9;140;0,05;9;4;0,01;0,2;0,3;;0
Körsbär surkörsbär konserv. m. sockerlag;624;94;393;21,5;0,1;0,7;1,5;76;0;0,2;3,7;16,5;16,5;0;20,2;0,02;0;0;0;0,02;0,01;0;0,03;0;0,03;0,03;0,02;0,01;0;0;0;0;0;0;35,5;426;0;0,03;;0,02;0,04;2;0,2;0,32;0,04;0;7,7;10;;1,3;10;93;;6;7;0,02;0;0,1;;8
Persika konserv. m. sockerlag;625;83;348;19,5;0,1;0,4;0,8;79;0;0,2;7,4;9,2;7,8;0;16,6;0,01;0;0;0;0,01;0;0;0,03;0;0,03;0,04;0,04;0;0;0;0;0;0;0;8,3;100;0;0,4;;0,01;0,02;3;0,6;0,67;0,02;0;3;11;1,8;0,3;3;92;0,04;6;6;0,02;0,3;0,3;;0
Plommon konserv. m. sockerlag;626;94;393;21,8;0,1;0,4;1,5;76;0;0,2;8,5;10,6;9,2;0;19,1;0,02;0;0;0;0,01;0;0;0,01;0;0,01;0,06;0,04;0,02;0;0;0;0;0;0;13;156;0;0,4;;0,02;0,04;5;0,3;0,37;0,03;0;2;13;;0,8;9;91;;5;19;0,05;0,1;0,1;;5
Päron konserv. m. lättsockrad lag;627;60;253;13,8;0;0,2;1,9;84;0;0,1;5,6;3,5;3;0;9,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;;0,01;0,02;1;0,2;0,23;0,01;0;1;7;;0,3;5;66;;4;5;0,01;0,2;0,1;;0
Päron konserv. m. sockerlag;628;77;322;17,6;0,1;0,2;1,9;80;0;0,2;7,1;8,8;7,7;0;15,9;0,02;0;0;0;0,01;0;0;0,01;0;0,01;0,05;0,04;0,01;0;0;0;0;0;0;0;0;0;0,2;;0,01;0,02;1;0,2;0,23;0,01;0;1;7;0,9;0,1;5;65;0,05;4;5;0,01;0,2;0,1;;0
Äpple konserv.;629;69;290;14,9;0,5;0,2;1,8;82,4;0;0,2;3;12;12;0;15;0,08;0;0;0;0,07;0,01;0;0,02;0;0,02;0,15;0,12;0,02;0;0;0;0;0;0;2,5;30;0;0,09;;0,09;0,01;0,4;0,01;0,04;0,03;0;1;5;;0,2;4;112;;2;4;0,01;0;0;;0
Grapefrukt konserv. m. lättsockrad lag;630;63;265;14,6;0,1;0,6;0,4;84;0;0,3;13,6;1,9;1,9;0;15,5;0,03;0;0;0;0,02;0;0;0,02;0;0,02;0,04;0,03;0,01;0;0;0;0;0;0;0;0;0;0,15;;0,04;0,02;22;0,2;0,3;0,02;0;8;10;;0,4;14;129;;10;2;0,01;0,2;0,1;;0
Fruktcocktail konserv. m. sockerlag;632;81;340;18,9;0;0,4;1,5;79;0;0,2;16,4;2,8;2,8;0;19,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;120;0;0,37;;0,02;0,02;2;0,4;0,47;0,05;0;2,5;11;1;0,3;6;88;;5;6;0,02;1;0,1;;0
Mandarin konserv. m. lättsockrad lag;633;65;272;14,6;0,1;0,4;1,7;83;0;0,2;8,6;5,9;5,9;0;14,5;0,01;0;0;0;0,01;0;0;0,02;0;0,02;0,02;0,02;0,01;0;0;0;0;0;0;41,7;500;0;0,08;;0,05;0,04;20;0,4;0,47;0,02;0;3,2;10;0,5;0,4;7;78;;8;6;0,02;0,2;0,2;;0
Mango konserv. m. sockerlag;634;99;413;23,3;0,1;0,3;1;75;0;0,3;15,8;4,4;4,4;0;20,2;0,02;0;0;0;0,02;0;0;0,04;0,02;0,02;0,02;0,01;0,01;0;0;0;0;0;0;16,5;198;0;0,9;;0,01;0,02;10;0,6;0,65;0,02;0;18;10;;0,1;10;100;;7;3;0,01;1;0;;0
Apelsinsallad;635;109;455;14,32;4,72;1,51;1,36;77,4;0;0,7;6,42;5,33;5,23;0;11,8;0,64;0;0;0;0,52;0,1;0,01;3,23;0,04;3,15;0,54;0,51;0,04;0;0;0;0;0;0;4,5;14;0;0,98;;0,21;0,03;43,7;0,47;0,69;0,05;0;31,2;33,7;13;0,38;25,6;159,4;;13,4;95,4;0,24;0,11;0,08;;26,2
Frukt bär konserv. osötad el. sötningsm.;637;35;146;7,6;0,1;0,4;0,8;90,8;0;0,3;5,7;1,7;1,7;0;7,4;0,01;0;0;0;0;0;0;0,01;0;0,01;0,03;0,03;0;0;0;0;0;0;0;8;96;0;0,09;;0,03;0,05;3,5;0,3;0,37;0,07;0;2,5;8,5;;0,2;6,5;105;;6,5;1,5;0;0,1;0;;0
Fruktsallad;638;56;235;11,8;0,26;0,58;1,89;85,03;0;0,46;7,63;2,75;2,72;0;10,4;0,02;0;0;0;0,02;0;0;0,03;0;0,03;0,09;0,09;0,02;0;0;0;0;0;0;2,7;21;0;0,59;;0,08;0,02;32,2;0,34;0,43;0,09;0;21,2;16,7;1,1;0,15;15,5;163,8;;10,2;0,8;0;0,02;0,07;;19,3
Apelsinjuice färskpressad;641;48;200;10,6;0,2;0,7;0,1;88;0;0,4;4,8;0,7;0,7;0;5,5;0,02;0;0;0;0,02;0;0;0,04;0,01;0,03;0,06;0,03;0,01;0;0;0;0;0;0;10;120;0;0,24;;0,09;0,03;50;0,4;0,52;0,04;0;30;17;0,3;0,2;11;200;;11;1;0;0,2;0,1;;0
Apelsinjuice konc. frysvara;642;165;690;37,5;0,2;2,4;0,5;58;0;1,4;14;18;18;0;32;0,02;0;0;0;0,02;0;0;0,04;0,01;0,03;0,04;0,03;0,01;0;0;0;0;0;0;14;168;0;0,96;;0,28;0,06;138;0,7;1,1;0,16;0;155;57;1,5;0,4;32;670;;34;3;0,01;0,5;0,2;;0
Apelsinjuice drickf.;643;39;162;8,6;0,1;0,7;0;89,9;0;0,68;4,2;3,8;3,8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,5;13;0;0,19;0;0,06;0;32,3;0,19;0,3;0,05;0;25;13,7;0,3;0,08;11,7;119;0,03;9;2,2;0,01;0;0,03;0;0
Citronjuice färskpressad;645;29;120;6,5;0;0,56;0;92,7;0;0,2;1;0,2;0,2;0;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;1;0;0,21;0;0,02;0,01;44,1;0,08;0,2;0,05;0;22,1;12,4;0;0,03;6,2;104;0,02;8,8;0;0;2,6;0,04;0;0
Citronjuice konc. konserv.;646;32;134;6,8;0,3;0,4;0,1;92;0;0,4;1,4;0,1;0,1;0;1,5;0,04;0;0;0;0,04;0;0;0,01;0;0,01;0,1;0,06;0,02;0;0;0;0;0;0;1;12;0;0,1;;0,04;0,01;25;0,2;0,27;0,04;0;10;9;0;0,1;11;102;;8;21;0,05;1,8;0,1;;0
Småcitrusjuice färskpressad;647;44;185;9,9;0,2;0,5;0,1;89;0;0,3;4,8;0,7;0,7;0;5,5;0,02;0;0;0;0,02;0;0;0,04;0;0,03;0,04;0,03;0,01;0;0;0;0;0;0;20,8;250;0;0,2;;0,06;0,02;31;0,1;0,18;0,06;0;20;14;0;0,2;18;178;;8;1;0;0,2;0;;54
Grapefruktjuice färskpressad;649;39;165;8,8;0,1;0,5;0,4;90;0;0,2;4,7;2,5;2,5;0;7,2;0,03;0;0;0;0,02;0;0;0,02;0;0,02;0,04;0,03;0,01;0;0;0;0;0;0;4;48;0;0,3;;0,04;0,02;38;0,2;0,28;0,02;0;8;15;0,1;0,2;9;162;0,03;12;1;0;0,2;0,1;;0
Limejuice färskpressad;652;40;168;9,2;0,1;0,4;0,1;90;0;0,2;0,7;0;0;0;0,7;0,01;0;0;0;0,01;0;0;0,01;0;0,01;0,03;0,02;0,01;0;0;0;0;0;0;0,5;6;0;0,1;;0,02;0,01;29;0,1;0,17;0,04;0;8;7;0;0;9;109;;6;1;0;0,2;0,1;;0
Risgrynsgröt lättmjölk fett ca 1%;654;79;329;13,3;1,27;3,21;0,14;81,2;0;0,87;0;3,3;0,03;0;3,3;0,66;0,07;0,04;0,08;0,37;0,09;0;0,38;0,01;0,37;0,14;0,11;0,02;0;0;0;0;3,41;;10,5;;0,77;0,08;;0,05;0,1;0,4;0,21;0,9;0,04;0,37;8,5;82,3;22,2;0,04;83,1;118;;10,9;141,8;0,35;1,09;0,43;;
Risgrynsgröt;655;86;359;13,32;2,08;3,18;0,14;80,36;0;0,94;0;3,25;0,03;0;3,3;1,18;0,12;0,06;0,17;0,62;0,17;0;0,59;0,03;0,55;0,17;0,12;0,03;0;0;0;0;5,67;;18,1;;0,76;0,1;;0,05;0,1;0,4;0,21;0,9;0,04;0,37;8,4;81,2;25,6;0,04;81,4;116,1;;11;169,6;0,42;1,08;0,43;;
Limejuice konc. konserv.;657;28;117;6,2;0,2;0,2;0,1;93;0;0,3;0,7;0;0;0;0,7;0,03;0;0;0;0,02;0;0;0,02;0;0,02;0,06;0,04;0,02;0;0;0;0;0;0;1;12;0;0,03;;0,03;0;6;0,1;0,13;0,03;0;8;10;;0,2;12;75;;7;16;0,04;0,2;0,1;;0
Druvjuice konserv. drickf.;658;63;262;14,6;0;0,6;0,5;84;0;0,3;13,9;0,2;0,2;0;14,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;6;0;0,2;;0,03;0,04;3;0,3;0,4;0,07;0;3;11;1;0,2;9;132;;10;3;0,01;0,1;0,1;;0
Äppeljuice drickf.;659;40;169;9,7;0;0,25;0;89,8;0;0,21;8,7;1,7;1,7;0;10,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0,11;0,1;0,05;0;0,1;5,2;0,6;0,08;9,2;66,7;0,01;4,1;3,4;0,01;0;0;0;0
Ananasjuice konserv. drickf.;660;55;230;12,8;0,1;0,3;0,5;86;0;0,3;7,4;4,4;4,4;0;11,8;0,01;0;0;0;0;0;0;0,01;0;0,01;0,03;0,02;0,01;0;0;0;0;0;0;1,5;18;0;0,03;;0,06;0,02;11;0,3;0,35;0,1;0;23;8;1;0,3;17;134;;13;1;0;0,2;0,1;;0
Apelsinjuice pastöriserad drickf.;661;43;181;9,8;0,1;0,6;0,1;89;0;0,4;6,2;2,2;2,2;0;8,4;0,01;0;0;0;0,01;0;0;0,01;0;0,02;0,03;0,02;0,01;0;0;0;0;0;0;0,2;3;0;0,1;;0,06;0,03;35;0,3;0,4;0,09;0;15;14;0,3;0,4;8;175;;11;2;0,01;0,2;0;;0
Juice;662;40;165;8,95;0,08;0,59;0;89,79;0;0,57;5,12;3,35;3,35;0;8,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,2;15;0;0,15;0;0,05;0;25;0,18;0,26;0,05;0;19,8;11,9;0,4;0,08;11,3;108,8;0,03;8,1;2,5;0,01;0;0,03;0;
Aprikosnektar pastöriserad drickf.;664;58;242;13,1;0,1;0,3;1,3;85;0;0,2;2,1;5;5;0;7,1;0,01;0;0;0;0,01;0;0;0,04;0;0,04;0,02;0,02;0;0;0;0;0;0;0;65,8;790;0;0,53;;0,01;0,01;0;0,3;0,35;0,02;0;1;9;0,5;0,4;7;82;;5;1;0;0,1;0,1;;0
Persikonektar pastöriserad drickf.;665;55;230;13;0;0,3;0,5;86;0;0,2;5,1;6,4;6,4;0;11,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;156;0;0,4;;0,01;0,01;5;0,3;0,35;0,01;0;1;6;;0,2;5;40;;4;7;0,02;0,1;0,1;;0
Apelsinnektar pastöriserad osötad drickf. berikad;668;31;131;7,2;0;0,5;0;92;0;0,3;5,3;1,1;1,1;0;6,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;10;0;0,1;;0,06;0,01;15;0,2;0,28;0,03;0;22;11;0,3;0,1;6;127;;5;1;0;0;0;;0
Katrinplommondryck konserv. drickf.;670;70;291;15,5;0;0,6;2,2;81;0;0,7;7,3;5,9;5,9;0;13,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,7;260;0;0,4;;0,02;0,05;4,1;0,5;0,6;0,08;0;1;28;1;0,3;25;250;0,1;30;2;0,01;0,3;0;;0
Havredryck choklad berikad;672;60;252;10,4;1,3;1,05;1,1;85,5;0;0,62;0;5,95;3,25;0;6;0,21;0;0;0;0,16;0,05;0;0,69;0;0,68;0,43;0,35;0,08;0;0;0;0;0;0;0;0;1,1;0;0;0,03;0,2;0;0,08;0,3;0,13;0,4;0;55;8;0,5;120;65;;10;59;0,15;0;0,2;0;0
Bovetegröt m. russin;675;98;411;20,28;0,47;2,11;1,65;74,17;0;1,33;9,6;0,43;0,24;0;10,2;0,12;0,01;0;0,01;0,08;0,01;0;0,05;0;0,05;0,14;0,12;0,01;0;0;0;0;0,42;0,9;1,3;4;0,06;0,21;;0,05;0,02;0,1;0,6;0,97;0,08;0,04;5,3;64,3;34,5;0,82;17,3;133,6;0,13;31,4;174,1;0,44;0,84;0,43;;
Grahamsgröt;676;61;256;11,2;0,46;1,85;2,09;83,49;0;0,91;0,04;0,09;0,09;18;0,1;0,06;0;0;0;0,06;0;0;0,07;0;0,07;0,2;0,18;0,02;0;0;0;0;0;0;0;0;0;0,26;;0,05;0,02;0;0,74;1,05;0,04;0;4,8;65,1;32,1;0,93;7,4;45,8;0,09;24,2;250,8;0,63;0,63;0,43;;0
Havregrynsgröt fullkorn;677;66;277;11,34;1,23;1,68;1,33;83,34;0;1,07;0;0,19;0,19;18;0,2;0,2;0;0;0;0,18;0,02;0;0,45;0;0,43;0,5;0,48;0,02;0;0;0;0;0;0;0;0;0;0,14;;0,03;0,01;0;0,14;0,42;0,01;0;3,2;64,2;40,1;0,61;8,8;39,3;0,06;19,7;308,4;0,77;0;0,46;;0
Molinogröt grahamsmjöl m. torkad frukt linfrö;678;81;339;11,3;2,3;2,13;3,24;80,1;0;1,03;4,69;0,12;0,2;9;4,9;0,19;0;0;0;0,12;0,07;0;0,39;0;0,38;1,51;0,41;1,11;0;0;0;0;0;0;0,7;8;0;0,28;;0,11;0,02;0;0,85;1,21;0,06;0;8;79;16,7;1,1;19,9;103,8;0,15;37,4;92,4;0,23;0,93;0,55;;0
Frukostflingor ris puffat rostat osötat;679;383;1603;86;0,9;6,01;0,75;5,98;0;0,39;0;0,3;0,3;0;0,3;0,19;0;0;0,01;0,15;0,01;0;0,26;0;0,25;0,32;0,3;0,01;0;0;0;0;0;0;0,5;6;0;0,07;;0;0,02;0;1,05;2,1;0,08;0,05;15,1;91,4;0;0,41;2,5;84,3;0,14;20,6;3,6;0,01;2,44;1,5;82,6;0
Rågkross ångprep. fullkorn;680;323;1352;61,1;1,5;9,2;12,7;14;0;1,5;1;1,4;1;100;2,4;0,19;0;0;0;0,19;0;0;0,15;0;0,15;0,74;0,65;0,09;0;0;0;0;0;0;0;0;0;0,8;;0,2;0,12;0;0,8;2,33;0,35;0;50;350;3,7;2,8;30;450;0,44;110;2;0,01;2;2,5;;0
Kornmjölsgröt;681;63;264;11,94;0,55;1,7;1,4;83,45;0;0,96;0,07;0,09;0,09;18;0,2;0,1;0;0;0;0,09;0;0;0,05;0;0,05;0,25;0,23;0,02;0;0;0;0;0;0;0;0;0;0,05;;0,04;0,01;0;1,05;1,33;0,04;0;2,2;46,6;34,5;0,65;6;42,1;0,1;16,6;273,2;0,68;0,18;0,44;;0
Mannagrynsgröt;682;78;328;11,12;1,74;4,29;0,26;81,5;0;1,11;0;4,62;0,02;0;4,6;1,05;0,12;0,05;0,17;0,52;0,16;0;0,42;0,03;0,36;0,09;0,07;0,01;0;0;0;0;6,34;14,2;15,2;12;0,94;0,05;;0,05;0,13;0,6;0,13;1,07;0,04;0,53;12,1;106,4;28,7;0,2;117,8;159,2;;12,2;173,8;0,43;1,62;0,46;;
Kruskagröt fullkorn m. havregryn vetekli russin;683;66;275;11,7;0,8;1,46;2,76;82,05;0;1,22;5,3;0,12;0,25;8;5,5;0,12;0;0;0;0,11;0,01;0;0,23;0;0,22;0,33;0,32;0,02;0;0;0;0;0;0;0,1;1;0;0,26;;0,04;0,01;0;1,13;1,37;0,06;0;8,6;83,4;30,6;0,92;11,5;87;;32,5;175,8;0,44;0,09;0,54;;0
Rågmjölsgröt;684;60;252;11,11;0,46;1,51;2,51;83,45;0;0,96;0,09;0,35;0,18;18;0,4;0,06;0;0;0;0,06;0;0;0,05;0;0,05;0,23;0,2;0,03;0;0;0;0;0;0;0;0;0;0,15;;0,04;0,02;0;0,18;0,44;0,04;0;6,2;66,9;35,1;0,61;7,5;49,3;0,07;20,5;273,7;0,68;0,18;0,39;;0
Stuvning vit;685;100;417;8,29;5,45;4,33;0,15;79,64;0;2,17;0;5,49;0,01;0;5,5;1,58;0,15;0,07;0,21;0,81;0,27;0,02;2,51;0,05;2,38;1,03;0,73;0,29;0;0;0;0;7,5;26,7;28,5;22;1,31;0,93;;0,06;0,16;0,8;0,11;1,1;0,05;0,62;13,6;121,3;76,8;0,06;138,9;186,7;;13,6;555,4;1,39;2,22;0,51;;
Välling fullkorn berikad;694;70;295;9,2;1,9;3,6;0,9;83,6;0;0,8;0;5,5;0,7;48;5,5;0,78;0;0,02;0,04;0,65;0,07;0;0,67;0;0,67;0,45;0,36;0,01;0;0;0;0;0;90;90;0;0,8;1,9;;0,12;0,12;4,5;0,46;1,06;0,19;0,2;6,8;100;10,7;1,9;110;160;;10,5;100;0,25;0,9;0,4;;0
Havrevälling hemlagad;695;78;326;12,74;1,47;2,84;0,84;80,58;0;1,53;4,41;4,75;1,85;5;9,3;0,74;0,08;0,04;0,11;0,38;0,11;0;0,4;0,02;0,36;0,18;0,16;0,01;0;0;0;0;4,16;9,3;10;8;0,62;0,18;;0,04;0,09;0,4;0,13;0,75;0,04;0,35;8,5;89,5;46;0,34;82,3;139,1;0,05;15,1;276,1;0,69;1;0,42;;
Mannagrynsvälling hemlagad;696;67;282;9,19;1,66;3,75;0,12;83,93;0;1,38;0;6,23;1,7;0;6,3;1,03;0,12;0,05;0,17;0,51;0,16;0;0,4;0,03;0,35;0,06;0,04;0,01;0;0;0;0;6,26;14;15;12;0,93;0,05;;0,05;0,13;0,6;0,09;0,94;0,04;0,52;11,4;101;43;0,11;115,7;154,6;;11,3;288,3;0,72;1,55;0,43;;
Välling berikad;699;64;268;8,6;1,7;3,3;0,4;85;0;1;0;4,5;0,1;10;4,5;0,69;0;0,02;0,03;0,58;0,06;0;0,6;0;0,6;0,33;0,32;0,01;0;0;0;0;0;90;90;0;0,9;2,4;;0,12;0,14;5,8;1,8;2,35;0,22;0,2;6,8;77,5;;1,8;100;135;;10,5;97,5;0,24;4,5;0,4;;0
Havredryck berikad;700;42;174;7,1;1,1;0,35;0,8;90,3;0;0,39;0,99;2,2;0;0;3,2;0,09;0;0;0;0,07;0,02;0;0,55;0;0,55;0,32;0,26;0,08;0,01;0;0;0;0;36,3;36,3;0;1,1;1,34;1,1;0,03;0,24;0;0,08;0,1;0,13;0,46;17,9;26,2;0;0,15;120;31,6;0,02;3,8;40,3;0,1;0;0,09;4,5;0
Havregryn fullkorn;702;375;1569;64,1;6,98;9,5;7,5;10,2;0;1,7;0;1,05;1,05;100;1;1,13;0;0;0,01;1;0,09;0,01;2,56;0,01;2,44;2,85;2,74;0,11;0;0;0;0;0;0;0;0;0;0,81;2,2;0,29;0,07;0;0,8;2,4;0,11;0;30,2;360;6,8;3,43;43;340;0,35;110;1,4;0;0;2,6;61,7;0
